,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
39,2023,Entry Level,Full-time,Other,100000,USD,100000,NG,Full-Remote,NG,Large
40,2023,Entry Level,Full-time,Data Analyst,30000,USD,30000,NG,Full-Remote,NG,Large
41,2022,Mid Level,Full-time,Machine Learning,1650000,INR,20984,IN,Half-Remote,IN,Large
42,2023,Entry Level,Full-time,Data Science,204620,USD,204620,US,On-Site,US,Large
43,2023,Entry Level,Full-time,Data Science,110680,USD,110680,US,On-Site,US,Large
44,2023,Senior Level,Full-time,Data Engineering,270703,USD,270703,US,On-Site,US,Medium
45,2023,Senior Level,Full-time,Data Engineering,221484,USD,221484,US,On-Site,US,Medium
46,2023,Senior Level,Full-time,Data Science,212750,USD,212750,US,Full-Remote,US,Medium
47,2023,Senior Level,Full-time,Data Science,185000,USD,185000,US,Full-Remote,US,Medium
48,2023,Senior Level,Full-time,Data Science,262000,USD,262000,US,Full-Remote,US,Medium
49,2023,Senior Level,Full-time,Data Science,245000,USD,245000,US,Full-Remote,US,Medium
50,2023,Senior Level,Full-time,Data Science,275300,USD,275300,US,Full-Remote,US,Medium
51,2023,Senior Level,Full-time,Data Science,183500,USD,183500,US,Full-Remote,US,Medium
52,2023,Senior Level,Full-time,Data Science,218500,USD,218500,US,Full-Remote,US,Medium
53,2023,Senior Level,Full-time,Data Science,199098,USD,199098,US,Full-Remote,US,Medium
54,2023,Senior Level,Full-time,Data Engineering,203300,USD,203300,US,Full-Remote,US,Medium
55,2023,Senior Level,Full-time,Data Engineering,123600,USD,123600,US,Full-Remote,US,Medium
56,2023,Senior Level,Full-time,Data Science,189110,USD,189110,US,On-Site,US,Medium
57,2023,Senior Level,Full-time,Data Science,139000,USD,139000,US,On-Site,US,Medium
58,2023,Executive Level,Full-time,Data Science,258750,USD,258750,US,On-Site,US,Medium
59,2023,Executive Level,Full-time,Data Science,185000,USD,185000,US,On-Site,US,Medium
60,2023,Senior Level,Full-time,Data Engineering,231500,USD,231500,US,Full-Remote,US,Medium
61,2023,Senior Level,Full-time,Data Engineering,166000,USD,166000,US,Full-Remote,US,Medium
62,2023,Senior Level,Full-time,Data Science,172500,USD,172500,US,Full-Remote,US,Medium
63,2023,Senior Level,Full-time,Data Science,110500,USD,110500,US,Full-Remote,US,Medium
64,2023,Senior Level,Full-time,Data Engineering,238000,USD,238000,US,On-Site,US,Medium
65,2023,Senior Level,Full-time,Data Engineering,176000,USD,176000,US,On-Site,US,Medium
66,2023,Senior Level,Full-time,Data Engineering,237000,USD,237000,US,Full-Remote,US,Medium
67,2023,Senior Level,Full-time,Data Engineering,201450,USD,201450,US,Full-Remote,US,Medium
68,2023,Senior Level,Full-time,Data Science,309400,USD,309400,US,On-Site,US,Large
69,2023,Senior Level,Full-time,Data Science,159100,USD,159100,US,On-Site,US,Large
70,2023,Senior Level,Full-time,Data Engineering,115000,USD,115000,US,On-Site,US,Medium
71,2023,Senior Level,Full-time,Data Engineering,81500,USD,81500,US,On-Site,US,Medium
72,2023,Senior Level,Full-time,Data Science,237000,USD,237000,US,Full-Remote,US,Medium
73,2023,Senior Level,Full-time,Data Science,201450,USD,201450,US,Full-Remote,US,Medium
74,2023,Senior Level,Full-time,Machine Learning,280000,USD,280000,US,On-Site,US,Medium
75,2023,Senior Level,Full-time,Machine Learning,210000,USD,210000,US,On-Site,US,Medium
76,2023,Senior Level,Full-time,Data Architecture,280100,USD,280100,US,Full-Remote,US,Medium
77,2023,Senior Level,Full-time,Data Architecture,168100,USD,168100,US,Full-Remote,US,Medium
78,2023,Senior Level,Full-time,Data Engineering,193500,USD,193500,US,Full-Remote,US,Medium
79,2023,Senior Level,Full-time,Data Engineering,139000,USD,139000,US,Full-Remote,US,Medium
80,2023,Mid Level,Full-time,Data Science,510000,HKD,65062,HK,On-Site,HK,Large
81,2023,Senior Level,Full-time,Machine Learning,150000,USD,150000,PT,Full-Remote,US,Medium
82,2023,Mid Level,Full-time,Machine Learning,65000,EUR,69751,IN,Full-Remote,DE,Small
83,2022,Entry Level,Full-time,Machine Learning,300000,USD,300000,IN,Half-Remote,IN,Large
84,2023,Mid Level,Full-time,Machine Learning,90000,EUR,96578,NL,Full-Remote,NL,Large
85,2023,Senior Level,Full-time,Data Analyst,185900,USD,185900,US,On-Site,US,Medium
86,2023,Senior Level,Full-time,Data Analyst,129300,USD,129300,US,On-Site,US,Medium
87,2023,Senior Level,Full-time,Data Engineering,225000,USD,225000,US,Full-Remote,US,Medium
88,2023,Senior Level,Full-time,Data Engineering,175000,USD,175000,US,Full-Remote,US,Medium
89,2023,Senior Level,Full-time,Data Engineering,185000,USD,185000,US,On-Site,US,Medium
90,2023,Senior Level,Full-time,Data Engineering,140000,USD,140000,US,On-Site,US,Medium
91,2023,Senior Level,Full-time,Data Science,45000,EUR,48289,ES,On-Site,ES,Medium
92,2023,Senior Level,Full-time,Data Science,36000,EUR,38631,ES,On-Site,ES,Medium
93,2023,Senior Level,Full-time,Data Science,105000,USD,105000,US,On-Site,US,Medium
94,2023,Senior Level,Full-time,Data Science,70000,USD,70000,US,On-Site,US,Medium
95,2023,Entry Level,Full-time,Machine Learning,163196,USD,163196,US,On-Site,US,Medium
96,2023,Entry Level,Full-time,Machine Learning,145885,USD,145885,US,On-Site,US,Medium
97,2023,Senior Level,Full-time,Data Engineering,217000,USD,217000,US,Full-Remote,US,Medium
98,2023,Senior Level,Full-time,Data Engineering,185000,USD,185000,US,Full-Remote,US,Medium
99,2023,Senior Level,Full-time,Data Analyst,202800,USD,202800,US,On-Site,US,Large
100,2023,Senior Level,Full-time,Data Analyst,104300,USD,104300,US,On-Site,US,Large
101,2023,Senior Level,Full-time,Data Analyst,145000,USD,145000,US,On-Site,US,Medium
102,2023,Senior Level,Full-time,Data Analyst,65000,USD,65000,US,On-Site,US,Medium
103,2023,Senior Level,Full-time,Data Engineering,165000,USD,165000,US,On-Site,US,Medium
104,2023,Senior Level,Full-time,Data Engineering,132300,USD,132300,US,On-Site,US,Medium
105,2023,Senior Level,Full-time,Data Engineering,179170,USD,179170,US,On-Site,US,Medium
106,2023,Senior Level,Full-time,Data Engineering,94300,USD,94300,US,On-Site,US,Medium
107,2023,Senior Level,Full-time,Data Analyst,152500,USD,152500,US,On-Site,US,Medium
108,2023,Senior Level,Full-time,Data Analyst,116450,USD,116450,US,On-Site,US,Medium
109,2023,Senior Level,Full-time,Data Engineering,247300,USD,247300,US,On-Site,US,Medium
110,2023,Senior Level,Full-time,Data Engineering,133800,USD,133800,US,On-Site,US,Medium
111,2023,Senior Level,Full-time,Data Science,203000,USD,203000,US,On-Site,US,Medium
112,2023,Senior Level,Full-time,Data Science,133000,USD,133000,US,On-Site,US,Medium
113,2023,Entry Level,Full-time,Data Science,220000,USD,220000,US,Half-Remote,US,Large
114,2022,Entry Level,Full-time,Machine Learning,54000,CHF,56536,CH,Full-Remote,CH,Small
115,2023,Senior Level,Full-time,Data Science,150000,USD,150000,US,On-Site,US,Medium
116,2023,Senior Level,Full-time,Data Science,120000,USD,120000,US,On-Site,US,Medium
117,2023,Senior Level,Full-time,Data Analyst,289800,USD,289800,US,On-Site,US,Medium
118,2023,Senior Level,Full-time,Data Analyst,214000,USD,214000,US,On-Site,US,Medium
119,2023,Senior Level,Full-time,Data Analyst,179820,USD,179820,US,On-Site,US,Medium
120,2023,Senior Level,Full-time,Data Analyst,143860,USD,143860,US,On-Site,US,Medium
121,2023,Senior Level,Full-time,Machine Learning,283200,USD,283200,US,Full-Remote,US,Medium
122,2023,Senior Level,Full-time,Machine Learning,188800,USD,188800,US,Full-Remote,US,Medium
123,2023,Senior Level,Full-time,Data Analyst,289800,USD,289800,US,On-Site,US,Medium
124,2023,Senior Level,Full-time,Data Analyst,214200,USD,214200,US,On-Site,US,Medium
125,2023,Senior Level,Full-time,Data Engineering,185900,USD,185900,US,On-Site,US,Medium
126,2023,Senior Level,Full-time,Data Engineering,129300,USD,129300,US,On-Site,US,Medium
127,2023,Senior Level,Full-time,Data Engineering,252000,USD,252000,US,On-Site,US,Medium
128,2023,Senior Level,Full-time,Data Engineering,129000,USD,129000,US,On-Site,US,Medium
129,2023,Mid Level,Full-time,Top Level Management,155000,USD,155000,US,On-Site,US,Medium
130,2023,Mid Level,Full-time,Top Level Management,140000,USD,140000,US,On-Site,US,Medium
131,2023,Senior Level,Full-time,Data Engineering,161800,USD,161800,US,Full-Remote,US,Medium
132,2023,Senior Level,Full-time,Data Engineering,141600,USD,141600,US,Full-Remote,US,Medium
133,2023,Senior Level,Full-time,Machine Learning,342300,USD,342300,US,On-Site,US,Large
134,2023,Senior Level,Full-time,Machine Learning,176100,USD,176100,US,On-Site,US,Large
135,2023,Mid Level,Full-time,Data Engineering,100000,USD,100000,US,Full-Remote,US,Medium
136,2023,Mid Level,Full-time,Data Engineering,70000,USD,70000,US,Full-Remote,US,Medium
137,2023,Entry Level,Full-time,Data Engineering,85000,USD,85000,US,On-Site,US,Medium
138,2023,Entry Level,Full-time,Data Engineering,65000,USD,65000,US,On-Site,US,Medium
139,2023,Senior Level,Full-time,Data Science,138784,USD,138784,US,Full-Remote,US,Medium
140,2023,Senior Level,Full-time,Data Science,83270,USD,83270,US,Full-Remote,US,Medium
141,2023,Entry Level,Full-time,Data Analyst,75000,USD,75000,US,On-Site,US,Medium
142,2023,Entry Level,Full-time,Data Analyst,70000,USD,70000,US,On-Site,US,Medium
143,2023,Senior Level,Full-time,Data Analyst,204500,USD,204500,US,On-Site,US,Medium
144,2023,Senior Level,Full-time,Data Analyst,138900,USD,138900,US,On-Site,US,Medium
145,2023,Senior Level,Full-time,Machine Learning,318300,USD,318300,US,Full-Remote,US,Medium
146,2023,Senior Level,Full-time,Machine Learning,212200,USD,212200,US,Full-Remote,US,Medium
147,2023,Senior Level,Full-time,Data Engineering,95000,USD,95000,US,Full-Remote,US,Medium
148,2023,Senior Level,Full-time,Data Engineering,75000,USD,75000,US,Full-Remote,US,Medium
149,2023,Senior Level,Full-time,Data Science,195000,USD,195000,US,On-Site,US,Medium
150,2023,Senior Level,Full-time,Data Science,160000,USD,160000,US,On-Site,US,Medium
151,2023,Senior Level,Full-time,Data Analyst,230000,USD,230000,US,On-Site,US,Medium
152,2023,Senior Level,Full-time,Data Analyst,143200,USD,143200,US,On-Site,US,Medium
153,2023,Mid Level,Full-time,Data Engineering,100000,USD,100000,US,Full-Remote,US,Medium
154,2023,Mid Level,Full-time,Data Engineering,70000,USD,70000,US,Full-Remote,US,Medium
155,2023,Mid Level,Full-time,Data Analyst,105000,USD,105000,US,Half-Remote,US,Large
156,2023,Mid Level,Full-time,Data Science,1700000,INR,20670,IN,Full-Remote,IN,Large
157,2023,Mid Level,Full-time,Data Analyst,38000,GBP,46178,GB,On-Site,GB,Medium
158,2023,Mid Level,Full-time,Data Analyst,35000,GBP,42533,GB,On-Site,GB,Medium
159,2023,Senior Level,Full-time,Data Engineering,145000,USD,145000,US,On-Site,US,Medium
160,2023,Senior Level,Full-time,Data Engineering,115000,USD,115000,US,On-Site,US,Medium
161,2023,Senior Level,Full-time,Data Analyst,168400,USD,168400,US,On-Site,US,Medium
162,2023,Senior Level,Full-time,Data Analyst,105200,USD,105200,US,On-Site,US,Medium
163,2023,Senior Level,Full-time,Data Science,309400,USD,309400,US,On-Site,US,Large
164,2023,Senior Level,Full-time,Data Science,159100,USD,159100,US,On-Site,US,Large
165,2023,Senior Level,Full-time,Machine Learning,190000,USD,190000,US,On-Site,US,Medium
166,2023,Senior Level,Full-time,Machine Learning,150000,USD,150000,US,On-Site,US,Medium
167,2023,Mid Level,Full-time,Data Engineering,162500,USD,162500,US,On-Site,US,Medium
168,2023,Mid Level,Full-time,Data Engineering,130000,USD,130000,US,On-Site,US,Medium
169,2023,Senior Level,Full-time,Data Analyst,150000,USD,150000,US,Full-Remote,US,Medium
170,2023,Senior Level,Full-time,Data Analyst,120000,USD,120000,US,Full-Remote,US,Medium
171,2023,Senior Level,Full-time,Data Engineering,145000,USD,145000,US,On-Site,US,Medium
172,2023,Senior Level,Full-time,Data Engineering,120000,USD,120000,US,On-Site,US,Medium
173,2023,Senior Level,Full-time,Data Science,222200,USD,222200,US,On-Site,US,Large
174,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Large
175,2023,Senior Level,Full-time,Data Analyst,45000,GBP,54685,CF,Full-Remote,CF,Medium
176,2023,Senior Level,Full-time,Data Analyst,35000,GBP,42533,CF,Full-Remote,CF,Medium
177,2023,Senior Level,Full-time,Data Engineering,241000,USD,241000,US,On-Site,US,Medium
178,2023,Senior Level,Full-time,Data Engineering,155000,USD,155000,US,On-Site,US,Medium
179,2023,Senior Level,Full-time,Data Engineering,220000,USD,220000,US,Full-Remote,US,Medium
180,2023,Senior Level,Full-time,Data Engineering,190000,USD,190000,US,Full-Remote,US,Medium
181,2023,Mid Level,Full-time,Data Science,55000,GBP,66837,GB,On-Site,GB,Medium
182,2023,Mid Level,Full-time,Data Science,45000,GBP,54685,GB,On-Site,GB,Medium
183,2020,Executive Level,Full-time,Data Analyst,15000,USD,15000,NG,On-Site,CA,Medium
184,2023,Mid Level,Full-time,Data Engineering,70000,GBP,85066,GB,Full-Remote,GB,Medium
185,2023,Mid Level,Full-time,Data Engineering,47500,GBP,57723,GB,Full-Remote,GB,Medium
186,2023,Entry Level,Full-time,Data Analyst,85000,USD,85000,US,Full-Remote,US,Medium
187,2023,Entry Level,Full-time,Data Analyst,75000,USD,75000,US,Full-Remote,US,Medium
188,2023,Senior Level,Full-time,Data Engineering,160000,USD,160000,US,On-Site,US,Medium
189,2023,Senior Level,Full-time,Data Engineering,140000,USD,140000,US,On-Site,US,Medium
190,2023,Mid Level,Full-time,Machine Learning,300000,USD,300000,US,On-Site,US,Medium
191,2023,Mid Level,Full-time,Machine Learning,250000,USD,250000,US,On-Site,US,Medium
192,2023,Senior Level,Full-time,Data Science,228000,USD,228000,US,On-Site,US,Medium
193,2023,Senior Level,Full-time,Data Science,186000,USD,186000,US,On-Site,US,Medium
194,2023,Senior Level,Full-time,Data Science,190000,USD,190000,US,On-Site,US,Medium
195,2023,Senior Level,Full-time,Data Science,170000,USD,170000,US,On-Site,US,Medium
196,2023,Mid Level,Full-time,Data Science,230000,USD,230000,US,On-Site,US,Medium
197,2023,Mid Level,Full-time,Data Science,200000,USD,200000,US,On-Site,US,Medium
198,2023,Senior Level,Full-time,Data Architecture,180000,USD,180000,US,Full-Remote,US,Medium
199,2023,Senior Level,Full-time,Data Architecture,115000,USD,115000,US,Full-Remote,US,Medium
200,2023,Senior Level,Full-time,Data Architecture,200000,USD,200000,US,Full-Remote,US,Medium
201,2023,Senior Level,Full-time,Data Architecture,115000,USD,115000,US,Full-Remote,US,Medium
202,2023,Senior Level,Full-time,Other,50000,EUR,53654,FR,Half-Remote,FR,Small
203,2023,Executive Level,Full-time,Data Engineering,220000,USD,220000,US,On-Site,US,Medium
204,2023,Executive Level,Full-time,Data Engineering,205000,USD,205000,US,On-Site,US,Medium
205,2023,Mid Level,Full-time,Data Engineering,180000,USD,180000,US,On-Site,US,Medium
206,2023,Mid Level,Full-time,Data Engineering,130000,USD,130000,US,On-Site,US,Medium
207,2023,Senior Level,Full-time,Data Engineering,200000,USD,200000,US,Full-Remote,US,Medium
208,2023,Senior Level,Full-time,Data Engineering,150000,USD,150000,US,Full-Remote,US,Medium
209,2023,Senior Level,Full-time,Machine Learning,215000,USD,215000,US,On-Site,US,Medium
210,2023,Senior Level,Full-time,Machine Learning,170000,USD,170000,US,On-Site,US,Medium
211,2023,Senior Level,Full-time,Machine Learning,247500,USD,247500,US,On-Site,US,Medium
212,2023,Senior Level,Full-time,Machine Learning,172200,USD,172200,US,On-Site,US,Medium
213,2023,Senior Level,Full-time,Data Science,224000,USD,224000,CA,On-Site,CA,Medium
214,2023,Senior Level,Full-time,Data Science,176000,USD,176000,CA,On-Site,CA,Medium
215,2023,Senior Level,Full-time,Data Analyst,120000,USD,120000,US,Full-Remote,US,Medium
216,2023,Senior Level,Full-time,Data Analyst,75000,USD,75000,US,Full-Remote,US,Medium
217,2023,Entry Level,Full-time,Data Engineering,1400000,INR,17022,IN,Full-Remote,IN,Large
218,2023,Senior Level,Full-time,Data Science,100000,AUD,68318,AU,Full-Remote,FI,Medium
219,2023,Mid Level,Full-time,Machine Learning,100000,SGD,75020,FI,On-Site,FI,Medium
220,2023,Senior Level,Full-time,Data Analyst,140000,USD,140000,US,On-Site,US,Medium
221,2023,Senior Level,Full-time,Data Analyst,120000,USD,120000,US,On-Site,US,Medium
222,2023,Senior Level,Full-time,Data Engineering,128000,USD,128000,US,On-Site,US,Medium
223,2023,Senior Level,Full-time,Data Engineering,81500,USD,81500,US,On-Site,US,Medium
224,2023,Senior Level,Full-time,Data Engineering,145000,USD,145000,US,On-Site,US,Medium
225,2023,Senior Level,Full-time,Data Engineering,115000,USD,115000,US,On-Site,US,Medium
226,2023,Senior Level,Full-time,Data Engineering,185000,USD,185000,US,On-Site,US,Medium
227,2023,Senior Level,Full-time,Data Engineering,140000,USD,140000,US,On-Site,US,Medium
228,2023,Executive Level,Full-time,Top Level Management,329500,USD,329500,US,On-Site,US,Medium
229,2023,Executive Level,Full-time,Top Level Management,269600,USD,269600,US,On-Site,US,Medium
230,2023,Senior Level,Full-time,Other,100000,USD,100000,US,On-Site,US,Medium
231,2023,Senior Level,Full-time,Other,80000,USD,80000,US,On-Site,US,Medium
232,2023,Senior Level,Full-time,Data Science,250000,USD,250000,US,On-Site,US,Medium
233,2023,Senior Level,Full-time,Data Science,162500,USD,162500,US,On-Site,US,Medium
234,2023,Mid Level,Full-time,Machine Learning,200000,USD,200000,US,Full-Remote,US,Medium
235,2023,Senior Level,Full-time,Data Engineering,145000,USD,145000,US,On-Site,US,Medium
236,2023,Senior Level,Full-time,Data Engineering,100000,USD,100000,US,On-Site,US,Medium
237,2023,Executive Level,Full-time,Data Engineering,145000,USD,145000,US,On-Site,US,Medium
238,2023,Executive Level,Full-time,Data Engineering,115000,USD,115000,US,On-Site,US,Medium
239,2023,Senior Level,Full-time,Data Science,203500,USD,203500,US,On-Site,US,Medium
240,2023,Senior Level,Full-time,Data Science,152000,USD,152000,US,On-Site,US,Medium
241,2023,Senior Level,Full-time,Data Science,239000,USD,239000,US,On-Site,US,Large
242,2023,Senior Level,Full-time,Data Science,122900,USD,122900,US,On-Site,US,Large
243,2023,Senior Level,Full-time,Data Science,237000,USD,237000,US,On-Site,US,Medium
244,2023,Senior Level,Full-time,Data Science,145000,USD,145000,US,On-Site,US,Medium
245,2023,Senior Level,Full-time,Top Level Management,191765,USD,191765,US,On-Site,US,Medium
246,2023,Senior Level,Full-time,Top Level Management,134236,USD,134236,US,On-Site,US,Medium
247,2023,Senior Level,Full-time,Data Analyst,190000,USD,190000,US,Full-Remote,US,Medium
248,2023,Senior Level,Full-time,Data Analyst,112000,USD,112000,US,Full-Remote,US,Medium
249,2022,Senior Level,Full-time,Data Science,84000,EUR,88256,ES,Full-Remote,GB,Large
250,2023,Entry Level,Full-time,Data Engineering,85000,USD,85000,US,On-Site,US,Medium
251,2023,Entry Level,Full-time,Data Engineering,65000,USD,65000,US,On-Site,US,Medium
252,2023,Senior Level,Full-time,Data Analyst,135000,USD,135000,US,On-Site,US,Medium
253,2023,Senior Level,Full-time,Data Analyst,105500,USD,105500,US,On-Site,US,Medium
254,2023,Senior Level,Full-time,Data Science,293000,USD,293000,US,On-Site,US,Medium
255,2023,Senior Level,Full-time,Data Science,185000,USD,185000,US,On-Site,US,Medium
256,2023,Senior Level,Full-time,Data Analyst,80000,USD,80000,US,On-Site,US,Medium
257,2023,Senior Level,Full-time,Data Analyst,70000,USD,70000,US,On-Site,US,Medium
258,2023,Senior Level,Full-time,Data Engineering,220000,USD,220000,US,Full-Remote,US,Medium
259,2023,Senior Level,Full-time,Data Engineering,160000,USD,160000,US,Full-Remote,US,Medium
260,2023,Senior Level,Full-time,Data Science,175000,USD,175000,US,Full-Remote,US,Medium
261,2023,Senior Level,Full-time,Data Science,145000,USD,145000,US,Full-Remote,US,Medium
262,2023,Senior Level,Full-time,Data Analyst,200000,USD,200000,US,On-Site,US,Medium
263,2023,Senior Level,Full-time,Data Analyst,148500,USD,148500,US,On-Site,US,Medium
264,2023,Senior Level,Full-time,Data Science,45000,EUR,48289,ES,On-Site,ES,Medium
265,2023,Senior Level,Full-time,Data Science,36000,EUR,38631,ES,On-Site,ES,Medium
266,2023,Senior Level,Full-time,Data Engineering,240500,USD,240500,US,On-Site,US,Large
267,2023,Senior Level,Full-time,Data Engineering,123700,USD,123700,US,On-Site,US,Large
268,2023,Senior Level,Full-time,Data Analyst,152900,USD,152900,US,Full-Remote,US,Medium
269,2023,Senior Level,Full-time,Data Analyst,117100,USD,117100,US,Full-Remote,US,Medium
270,2023,Senior Level,Full-time,Data Analyst,173000,USD,173000,US,Full-Remote,US,Medium
271,2023,Senior Level,Full-time,Data Analyst,113000,USD,113000,US,Full-Remote,US,Medium
272,2023,Senior Level,Full-time,Data Science,260000,USD,260000,US,On-Site,US,Large
273,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Large
274,2023,Executive Level,Full-time,Data Engineering,175000,USD,175000,US,On-Site,US,Medium
275,2023,Executive Level,Full-time,Data Engineering,110000,USD,110000,US,On-Site,US,Medium
276,2023,Senior Level,Full-time,Data Science,260000,USD,260000,US,On-Site,US,Large
277,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Large
278,2023,Senior Level,Full-time,Data Science,130000,USD,130000,US,Full-Remote,US,Medium
279,2023,Senior Level,Full-time,Data Science,110000,USD,110000,US,Full-Remote,US,Medium
280,2023,Senior Level,Full-time,Data Science,205000,USD,205000,US,Full-Remote,US,Medium
281,2023,Senior Level,Full-time,Data Science,184000,USD,184000,US,Full-Remote,US,Medium
282,2023,Senior Level,Full-time,Data Analyst,149500,USD,149500,US,Full-Remote,US,Medium
283,2023,Senior Level,Full-time,Data Analyst,127075,USD,127075,US,Full-Remote,US,Medium
284,2023,Senior Level,Full-time,Data Science,195000,USD,195000,US,On-Site,US,Medium
285,2023,Senior Level,Full-time,Data Science,160000,USD,160000,US,On-Site,US,Medium
286,2023,Senior Level,Full-time,Data Engineering,219535,USD,219535,US,Full-Remote,US,Medium
287,2023,Senior Level,Full-time,Data Engineering,146115,USD,146115,US,Full-Remote,US,Medium
288,2023,Senior Level,Full-time,Data Science,170000,USD,170000,US,On-Site,US,Medium
289,2023,Senior Level,Full-time,Data Science,135000,USD,135000,US,On-Site,US,Medium
290,2023,Senior Level,Full-time,Data Science,175000,USD,175000,US,Full-Remote,US,Medium
291,2023,Senior Level,Full-time,Data Science,145000,USD,145000,US,Full-Remote,US,Medium
292,2023,Senior Level,Full-time,Data Science,199000,USD,199000,US,On-Site,US,Medium
293,2023,Senior Level,Full-time,Data Science,162000,USD,162000,US,On-Site,US,Medium
294,2023,Senior Level,Full-time,Data Science,222200,USD,222200,US,On-Site,US,Large
295,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Large
296,2023,Executive Level,Full-time,Data Analyst,221000,USD,221000,US,Full-Remote,US,Medium
297,2023,Executive Level,Full-time,Data Analyst,153000,USD,153000,US,Full-Remote,US,Medium
298,2023,Senior Level,Full-time,Data Analyst,187000,USD,187000,US,On-Site,US,Medium
299,2023,Senior Level,Full-time,Data Analyst,128000,USD,128000,US,On-Site,US,Medium
300,2023,Senior Level,Full-time,Data Science,210000,USD,210000,US,On-Site,US,Medium
301,2023,Senior Level,Full-time,Data Science,136000,USD,136000,US,On-Site,US,Medium
302,2023,Senior Level,Full-time,Data Science,175000,USD,175000,US,Full-Remote,US,Medium
303,2023,Senior Level,Full-time,Data Science,100000,USD,100000,US,Full-Remote,US,Medium
304,2023,Senior Level,Full-time,Data Engineering,179000,USD,179000,US,On-Site,US,Medium
305,2023,Senior Level,Full-time,Data Engineering,109000,USD,109000,US,On-Site,US,Medium
306,2023,Senior Level,Full-time,Data Science,245000,USD,245000,US,On-Site,US,Medium
